Dataset,NB-2 Accuracy,SVM-2 Accuracy,NB-2 F1,SVM-2 F1
Validation Set,0.9390797148412184,0.949449125081011,0.8553846153846154,0.878125
Test Set,0.9300518134715026,0.9514248704663213,0.8338461538461538,0.8875562218890555
Small Dataset,0.9532374100719424,0.9712230215827338,0.9398148148148148,0.963963963963964
General Dataset,0.8885017421602788,0.9094076655052264,0.8745098039215686,0.9
