Dataset,NB-1 Accuracy,SVM-1 Accuracy,NB-1 F1,SVM-1 F1
Validation Set,0.9651612903225807,0.9767741935483871,0.8402366863905325,0.9032258064516129
Test Set,0.9780927835051546,0.9896907216494846,0.9050279329608939,0.9578947368421052
Large Dataset,0.7224180472329926,0.4605216778286923,0.3368421052631579,0.34072797760068924
General Dataset,0.8710801393728222,0.9006968641114983,0.8474226804123711,0.8877952755905512
